x,y,z
197.48659620095842,324.2168880568461,a
195.90922527691245,307.9308645594214,a
219.7836146984412,332.60994894387926,a
205.73866093595703,316.6836419247893,a
259.31994567863785,363.6076063419456,a
235.11058895672645,352.17223363481764,a
273.52951078817034,325.91920406004664,a
312.98957435662845,318.7805137267978,a
280.74797790005175,294.3049699210193,a
258.9167008749789,311.01498647332534,a
275.1381912119751,378.51995495623595,a
280.9364088649156,312.30168520355437,a
296.21858772192604,337.3983556627196,a
322.8710380531736,326.4703241123781,a
322.62745138032653,326.3397873257853,a
358.0365954588803,367.4965794793168,a
349.4157743497391,346.6394843428276,a
341.2332358385714,357.4335718497964,a
350.02340598639705,309.7128947437321,a
377.53753119522713,318.40957335284133,a
389.080090169234,307.2311116711816,a
383.6016995952508,323.4581630761446,a
389.6007400321056,317.0401233553694,a
384.5019552521572,270.26461284792134,a
399.0305611071504,348.1972086690008,a
398.7849105696971,329.0321064971865,a
378.52076959176907,305.8854457681739,a
401.3647691566106,323.55473470613276,a
394.6520617111787,309.1162263919506,a
361.14930281531656,342.2129735301992,a
369.1293132288531,291.69746614395194,a
394.1610474410827,301.4706033407966,a
240.68716328527788,253.39663467166548,a
225.44249153226158,305.2890748561557,a
215.25834313650867,242.95919912436125,a
236.599487776427,296.5394110393614,a
270.8593718342372,281.998907373724,a
242.52051448185915,293.8678576782915,a
271.08777695549537,272.0575888338354,a
235.1607350761273,267.5878060112111,a
268.06298514708874,245.58829322656183,a
309.2083906393171,266.3262769575702,a
339.50152371007414,270.8833326922172,a
299.2969205011552,285.3839853854768,a
279.91789422084713,247.73941445343613,a
309.6077713343588,259.32514224787184,a
344.0164083607377,259.6025358104429,a
325.5936951188435,251.14267248079102,a
308.3572621487105,285.8134178940312,a
360.686344321432,285.7118233009293,a
355.4719446848145,287.6874391527059,a
343.9104805808981,260.7637479965431,a
331.86685150416565,273.33741958798123,a
347.7288802802052,244.46718927254375,a
396.3057207654564,288.72458425862,a
384.7553065003672,289.97689912169085,a
341.6069487215305,242.52329273564567,a
389.0764489055269,308.5362268203219,a
349.5986101341402,286.7509272617215,a
225.4145159282266,267.9184950308103,a
241.98386240087055,270.72401376450404,a
208.41701609434625,194.15172560977425,a
235.4079768540503,229.5346425941466,a
157.73184391582436,260.0915165750009,a
199.91842274524336,213.14747143761775,a
245.11393582511445,196.2299246460645,a
242.34916708092103,227.0682309793719,a
247.5835759200854,251.06830838572395,a
327.62430206628545,222.6134122642814,a
247.05485855269347,186.4590072041804,a
274.9275559112981,250.20907002583215,a
297.6139257281678,220.73252780804046,a
254.86045605507547,222.16395564321283,a
310.2142047580653,225.90304403439256,a
346.7266190862026,245.62849147217733,a
304.8955332339718,193.40729572778548,a
345.24249161140887,219.76707697711635,a
379.7094343021407,232.24826103855463,a
378.03719449249843,240.59363123580903,a
349.4135388839145,252.2287700595735,a
357.684613939827,258.8900222596359,a
356.3156036902988,194.43131990374047,a
361.2611451702833,226.1022190267194,a
343.9984228144031,222.65497331153261,a
372.98728892107,242.71141034197802,a
409.28577843894317,246.96157030860044,a
375.7373694326402,233.44194433226937,a
303.02117007073394,261.3880911348534,a
379.6342032354107,211.46524764143948,a
350.59128399367944,234.39417689045558,a
328.97701827058347,233.98971635602976,a
353.08716411325327,281.68767945240893,a
381.7868798082481,218.10409390495136,a
369.8500361775759,240.6405066725789,a
190.76043420631945,309.8461281424062,a
238.20566073494894,276.66596251567535,a
251.00824898163157,279.43035295562794,a
197.4436899369754,320.38901172139555,a
261.48784021015246,216.62886475960386,a
263.4104320056587,327.16066731781075,a
161.74748197960622,316.87638884567946,a
215.1301871232876,302.6057702205369,a
198.51582971357186,265.60865802782035,a
204.05042392312677,270.31843864511006,a
180.81274673144515,307.1697756098579,a
190.3878463918576,258.8883518907595,a
229.8615820534091,334.8711736899423,a
244.17613255239235,281.68558304306606,a
207.67115682910955,246.32982650680836,a
205.9409020039267,250.40296094889607,a
239.02254686490224,240.97794830692794,a
382.7717576613746,343.7538278777201,a
335.565738073212,311.56454146624736,a
390.49977943258136,307.47395270215725,a
374.4689656019988,272.7520794999334,a
344.7374138978372,342.8332680571955,a
291.3844026681995,367.4501953446106,a
310.21899029091196,342.5627912158821,a
367.8944996650355,320.45552080254583,a
356.77648024020084,302.733680885147,a
376.0215932491161,266.78721846730457,a
349.42390527994985,312.05098908975,a
353.7464111313793,266.9686087285514,a
366.10101463129723,321.82984414463965,a
401.4804591526999,279.20435472024144,a
390.59039537899724,294.1279558883152,a
377.4116223269392,257.78623567268005,a
379.84666343811847,255.9398122036564,a
400.5409777881123,244.77042796193447,a
384.3433962725497,294.5843132670341,a
372.20557384970215,274.10586298729396,a
387.93945709456574,244.8332116620055,a
398.5816327563717,266.06231325135457,a
389.55376247346715,249.27709204249084,a
304.8522099590727,322.9638808036679,a
313.513313251554,281.22640993707216,a
277.9066734948125,340.1337685730698,a
282.4358520636237,300.46364135431173,a
291.5390119028719,285.10981843333394,a
270.7230761831564,318.6138227421646,a
311.0239252727185,261.6447415201668,a
264.8060307246901,277.11467572095023,a
265.5729372973248,298.08107636332153,a
277.53770020885815,261.82891406284307,a
291.5879454444268,277.1060007452234,a
