x,y,z
8.982343372672698,388.834563044337,a
5.131637003322371,356.79411559181943,a
47.025714627946094,395.5641154061864,a
30.345488431684068,415.9895816924219,a
35.72598510053458,394.17034351596226,a
63.717131690141635,386.34270747954946,a
1.0402357240092428,396.80039838107143,a
31.451272575574063,395.6577122599275,a
36.04855463403629,379.49250591847783,a
28.855424450023367,438.86579965911056,a
90.31748683887864,360.43283064452896,a
26.16171224911958,342.34197032214786,a
19.67730081492512,407.6425970758502,a
98.5830976532418,352.4817686463721,a
54.1229770678233,323.0790890125005,a
39.20759707646545,317.0663944337721,a
27.912953247274846,348.4089904642345,a
56.328373931280694,327.77088914633634,a
24.273165600518002,388.5050258573975,a
48.52533174012438,365.41166368464127,a
81.59677508880992,334.7332772159265,a
43.97759100413968,340.6167376202051,a
16.83860080345123,377.6334172755786,a
76.15121668834328,318.18475590687274,a
25.089572207825746,337.9056908888159,a
91.0971224800237,306.40665046312995,a
70.68102266380305,341.85110500392136,a
53.584796733052265,329.2791045039145,a
44.36313355103636,334.0470332554514,a
46.86732839461648,286.25079322402325,a
82.33587941166833,351.9308564259981,a
83.10507358215706,333.7967327226759,a
64.05011724408043,292.28273032681943,a
97.17055345115251,302.8717469218964,a
63.34245298971045,279.2478602817005,a
24.711859707431437,220.1657103822908,a
92.28885835394853,259.3767714349275,a
90.44262095619852,278.8106338208684,a
98.9072786858255,302.22784912286204,a
142.07682814098013,244.252675854036,a
93.91908659369803,315.0878291783304,a
91.12261704080944,268.85282580995045,a
67.0701089787157,262.36143689774383,a
137.99637103052973,254.55553640867,a
57.76404643496002,261.42694790007386,a
146.3394339788722,206.9501604668497,a
133.17092477694922,241.84003060120085,a
88.01398520440968,222.41192785755027,a
110.80460919459892,267.04154389668577,a
137.4521775026147,234.3706126702096,a
194.83522967644643,202.67983084599973,a
146.72591909235965,267.4125300183375,a
134.1747954895315,224.19428576401316,a
171.36287533703842,216.25251727210122,a
109.41440166293665,237.63356917396897,a
153.79842224760634,179.30240514607294,a
146.3182488418932,215.0552097837907,a
155.1394513201106,266.93217059446613,a
139.9384147884033,227.06794503469843,a
180.09735532910116,255.11228438177613,a
204.01337701071654,252.75879215109333,a
200.1534156607082,253.31877608337822,a
160.66761405290032,210.7314717072672,a
169.31615889635722,299.39537524303785,a
179.1282146506912,243.4765684674577,a
220.50859126933665,267.98011438117896,a
